24 24 21 18 16 14 14 12 10 9 7 6 6 6 6 6 7 7 8 8 10 12 14 14 
25 25 22 19 16 14 14 13 11 9 8 7 7 6 6 6 6 6 7 7 8 9 12 12 
24 24 21 19 16 15 15 12 11 10 8 8 7 8 8 8 9 9 9 9 10 12 13 13 
25 25 22 19 17 15 15 14 11 10 9 8 8 7 8 8 7 8 8 8 9 11 13 13 
23 23 20 18 16 15 15 13 12 10 9 9 8 7 7 8 8 8 9 10 11 13 16 16 
25 25 22 19 16 14 14 12 10 9 7 7 7 6 6 6 6 6 6 7 7 10 12 12 
22 22 20 17 16 14 14 12 11 10 8 8 7 7 7 8 8 8 9 10 12 13 14 14 
23 23 20 17 15 13 13 10 9 8 9 8 8 8 7 6 7 8 8 8 10 12 15 100 
24 24 21 19 17 16 16 13 12 11 9 8 8 8 8 8 9 9 9 10 12 13 16 16 
24 24 21 18 16 14 14 12 11 9 9 7 7 7 7 7 6 7 7 8 9 10 12 12 
23 23 19 17 14 11 11 10 9 7 6 6 6 6 6 6 7 7 8 10 10 13 16 16 
23 23 20 18 16 15 15 13 12 13 12 12 12 12 12 12 12 12 11 12 13 14 16 16 
22 22 19 16 14 13 13 12 9 8 7 6 6 6 6 6 6 6 7 8 10 11 13 13 
22 22 19 16 14 13 13 11 9 8 7 6 6 6 6 6 6 6 7 8 8 10 12 12 
23 23 20 18 16 15 15 13 12 10 9 9 9 7 6 7 7 7 7 8 8 9 12 12 
22 22 19 17 15 13 13 11 10 9 7 7 7 6 6 6 7 7 7 8 10 11 14 14 
23 23 20 18 16 14 14 13 10 10 9 7 7 6 7 6 7 7 8 8 9 11 12 12 
25 25 22 19 17 16 16 12 11 10 8 7 7 7 7 7 7 7 7 8 10 12 14 14 
24 24 21 18 16 14 14 13 11 9 8 7 7 6 6 6 6 6 6 7 8 8 11 11 
24 24 22 19 18 17 17 16 15 14 12 11 11 10 10 11 13 13 13 14 15 17 19 19 
25 25 21 19 16 14 14 13 12 11 10 8 8 7 6 7 7 7 7 7 8 8 9 9 
22 22 19 17 15 13 13 12 11 9 7 6 6 6 5 5 6 6 7 7 8 10 12 12 
24 24 21 18 16 14 14 11 10 9 7 7 7 6 6 6 6 6 7 7 8 10 12 12 
23 23 20 18 16 14 14 11 10 9 8 7 7 6 7 6 6 6 7 8 9 10 12 12 
25 25 21 19 16 14 14 12 11 10 9 7 7 7 6 6 7 7 7 7 9 10 12 12 
24 24 20 18 15 14 14 12 10 9 7 6 6 6 6 6 7 7 7 8 10 11 15 15 
23 23 20 17 15 13 13 11 10 9 7 6 6 6 6 6 6 6 7 8 10 11 16 16 
24 24 20 18 15 13 13 11 9 8 6 6 6 6 6 6 7 7 7 9 10 11 16 16 
24 24 21 18 15 14 14 11 10 9 7 6 6 6 6 6 6 6 7 8 10 11 15 15 
23 23 18 15 13 11 11 10 9 9 7 8 8 7 7 8 9 9 10 13 14 16 100 100 
25 25 22 19 17 15 15 14 13 11 10 10 9 8 7 7 7 7 7 8 9 10 11 11 
24 24 21 18 16 14 14 13 10 10 9 7 7 6 7 7 7 7 8 8 9 12 13 13 
22 22 19 16 14 12 12 11 9 8 7 6 6 6 6 6 6 6 8 9 10 14 16 16 
25 25 22 19 17 14 14 12 11 10 9 8 8 7 7 8 8 8 8 10 11 12 16 16 
22 22 19 16 14 12 11 11 10 8 7 7 7 7 6 7 7 8 8 10 11 13 16 16 
24 24 20 18 16 14 14 12 10 9 7 6 6 6 6 6 7 7 7 8 9 11 12 12 
24 24 20 17 14 12 12 11 10 8 7 7 7 7 6 6 7 7 8 9 11 14 16 16 
25 25 22 18 16 14 12 12 10 9 7 6 6 6 6 6 7 7 7 8 10 11 12 12 
24 24 20 18 15 13 13 11 10 9 7 7 7 6 6 6 6 6 7 8 9 12 14 14 
23 23 19 17 15 13 13 10 9 8 7 6 6 6 6 6 7 7 7 8 10 11 16 16 
22 22 19 17 13 12 11 11 9 7 7 7 7 6 6 6 7 8 8 9 10 13 16 16 
25 25 21 18 16 14 14 13 11 10 8 6 6 6 6 6 7 7 7 8 9 11 12 12 
23 23 20 18 16 13 13 12 10 9 7 7 7 6 6 7 7 7 8 10 11 14 16 16 
23 23 20 18 16 14 14 12 11 9 8 7 7 7 6 7 7 7 8 8 11 12 15 15 
25 25 20 17 15 13 13 11 10 9 7 7 7 6 6 6 6 6 7 7 9 12 13 13 
25 25 22 19 17 15 15 13 11 10 9 7 7 6 7 6 7 7 7 8 9 11 12 12 
22 22 19 17 15 14 14 12 11 9 8 7 7 6 6 7 6 6 7 7 8 9 11 11 
25 25 22 19 17 16 16 14 12 11 10 9 9 8 8 7 7 7 7 8 11 11 12 12 
25 25 21 18 16 14 14 13 10 9 7 7 6 6 6 6 6 6 7 7 8 9 12 12 
25 25 22 19 17 14 14 12 11 9 8 7 7 7 8 8 8 8 8 10 10 12 12 14 
25 25 21 18 16 14 14 12 10 9 7 6 6 6 6 6 6 6 7 7 8 12 11 11 
24 24 21 19 17 15 15 12 12 11 10 8 8 7 7 7 7 7 8 9 9 11 12 12 
25 25 21 18 15 13 13 12 10 9 8 6 6 6 5 6 5 5 6 7 8 9 9 10 
24 24 21 19 17 13 13 12 11 10 10 9 9 7 7 7 7 7 8 10 11 11 15 15 
24 24 21 18 16 14 12 12 10 9 7 6 6 6 6 6 6 7 7 8 8 8 11 11 
