24 24 21 17 15 12 12 10 9 7 6 6 6 5 5 6 6 6 7 9 10 12 16 16 
24 24 21 18 16 14 14 13 12 10 9 7 7 7 6 7 7 7 8 9 9 10 12 12 
22 22 19 16 13 10 10 9 7 6 6 6 6 5 5 5 6 6 7 9 10 14 16 16 
23 23 20 18 16 14 14 12 10 9 7 7 7 7 6 7 8 8 8 9 11 12 15 15 
23 23 19 17 15 13 13 11 10 9 7 6 6 6 5 6 7 7 7 8 9 10 11 11 
25 25 21 17 14 12 12 9 7 6 5 4 4 4 4 4 5 5 5 7 8 10 14 14 
24 24 21 19 17 15 15 13 12 11 9 9 9 8 8 8 9 9 10 11 13 14 16 16 
22 22 18 14 12 11 11 9 7 6 6 6 6 6 6 6 7 7 8 10 12 15 100 100 
23 23 19 16 11 10 10 9 7 6 6 6 6 6 6 6 7 9 9 10 13 15 16 16 
22 22 19 16 14 12 12 11 9 7 6 6 6 5 6 5 6 6 6 7 8 10 12 12 
24 24 20 17 15 13 13 11 10 8 6 5 5 5 6 6 7 7 8 8 9 11 11 16 
25 25 21 18 15 13 13 11 10 8 6 5 5 5 5 5 5 6 6 6 7 8 11 11 
23 23 21 18 16 14 14 13 11 9 9 9 7 6 6 7 7 7 7 8 8 10 12 12 
22 22 20 17 15 13 13 12 10 9 8 6 6 6 5 6 7 7 8 8 9 9 10 10 
25 25 21 17 14 13 13 11 10 9 7 7 7 6 6 6 7 7 8 9 11 14 16 16 
22 22 19 16 14 12 12 10 9 7 6 5 5 4 5 5 6 6 7 8 9 10 11 11 
23 23 20 18 16 14 14 12 11 9 8 7 7 6 6 6 6 6 7 9 10 12 13 13 
22 22 19 16 14 12 12 10 9 6 6 6 4 5 5 5 6 6 6 6 8 10 12 12 
24 24 21 18 16 14 14 12 10 9 9 7 7 7 7 6 7 7 9 8 10 11 14 14 
24 24 20 17 14 12 12 10 8 7 6 6 5 4 4 5 6 6 6 7 8 9 12 12 
23 23 21 17 15 13 13 10 8 7 6 5 5 5 5 5 6 6 7 8 9 11 15 15 
25 25 22 19 17 14 14 13 11 10 8 8 7 7 7 7 8 8 8 9 11 12 14 14 
23 23 20 17 14 13 13 11 10 9 7 7 6 6 6 6 6 6 7 8 9 10 11 11 
20 20 16 15 13 12 12 11 10 8 6 6 6 6 6 7 7 7 8 9 10 12 14 14 
23 23 15 14 10 9 9 8 9 8 7 6 6 5 5 6 7 7 8 9 10 12 14 14 
24 24 20 17 15 13 13 11 9 7 6 5 5 5 5 5 6 6 7 7 9 11 13 13 
25 25 18 15 12 12 12 10 8 7 6 5 5 5 5 6 6 6 8 9 11 13 16 16 
25 25 22 19 17 15 15 13 12 11 9 8 8 7 7 6 7 7 7 8 9 10 12 12 
23 23 20 18 15 14 14 12 10 8 7 7 7 6 6 6 7 7 8 9 10 11 13 13 
25 25 21 18 15 13 13 12 11 9 7 6 6 6 6 6 7 7 8 9 11 13 15 15 
23 23 20 16 13 11 11 9 6 6 5 3 3 3 3 3 4 6 6 6 7 9 12 12 
18 18 16 14 11 11 11 10 9 8 7 7 7 6 6 6 7 7 9 10 11 13 14 14 
24 24 22 20 18 17 17 16 14 13 12 11 11 11 10 9 9 9 8 9 9 10 11 11 
24 24 21 18 16 15 15 13 12 11 10 10 10 9 6 6 6 6 6 7 8 8 10 10 
24 24 21 18 15 12 12 10 10 8 7 6 6 6 5 5 6 6 6 6 6 8 9 9 
23 23 20 18 15 13 11 11 9 8 8 8 8 9 9 7 8 8 8 10 10 12 14 14 
21 21 17 14 11 9 9 8 6 5 4 4 3 3 3 4 4 4 5 6 7 9 9 9 
23 23 19 16 14 12 12 9 7 6 5 4 4 4 4 5 6 6 7 7 8 9 11 11 
23 23 20 18 16 14 14 12 11 10 9 9 7 7 6 6 6 7 8 8 9 10 11 11 
